TransactionID,Date,CustomerID,Region,ProductCategory,ProductName,UnitsSold,UnitPrice,Revenue,Discount,ProfitMargin,PaymentMethod,SalesRep,CustomerSatisfaction
41,2022-01-02 16:00:00,2082,North,Sports,Football,3,258.69,698.46,0.1,0.33,Credit Card,Alice,3
42,2022-01-02 17:00:00,3558,North,Beauty,Sofa,5,330.3,1354.23,0.18,0.06,Cash,Alice,3
43,2022-01-02 18:00:00,4753,South,Home,Sofa,15,387.15,5691.1,0.02,0.17,Credit Card,Bob,4
44,2022-01-02 19:00:00,3047,West,Electronics,Football,10,437.68,3326.37,0.24,0.21,Credit Card,Charlie,4
45,2022-01-02 20:00:00,4547,South,Electronics,Shirt,19,199.15,3594.66,0.05,0.26,Credit Card,Alice,2
46,2022-01-02 21:00:00,3747,East,Electronics,Football,1,406.66,329.39,0.19,0.12,Cash,Charlie,2
47,2022-01-02 22:00:00,1975,North,Home,Laptop,7,133.12,810.7,0.13,0.22,PayPal,Bob,3
48,2022-01-02 23:00:00,2806,East,Beauty,Perfume,18,331.87,4599.72,0.23,0.29,Cash,Bob,5
49,2022-01-03 00:00:00,1189,South,Sports,Football,2,55.84,83.76,0.25,0.17,PayPal,Ethan,2
50,2022-01-03 01:00:00,4005,South,Clothing,Football,19,14.92,266.47,0.06,0.29,PayPal,Bob,1
51,2022-01-03 02:00:00,3734,West,Beauty,Perfume,10,52.4,419.2,0.2,0.19,PayPal,Charlie,1
52,2022-01-03 03:00:00,4005,West,Home,Perfume,15,163.09,2299.57,0.06,0.21,PayPal,Diana,2
53,2022-01-03 04:00:00,1562,West,Home,Laptop,10,20.39,195.74,0.04,0.1,PayPal,Alice,5
54,2022-01-03 05:00:00,2899,East,Electronics,Perfume,10,317.09,2283.05,0.28,0.28,Bank Transfer,Alice,1
55,2022-01-03 06:00:00,4638,West,Beauty,Sofa,12,161.69,1843.27,0.05,0.13,PayPal,Ethan,3
56,2022-01-03 07:00:00,2267,South,Electronics,Football,8,369.51,2749.15,0.07,0.34,Bank Transfer,Diana,3
57,2022-01-03 08:00:00,3879,West,Clothing,Perfume,14,27.73,372.69,0.04,0.24,Cash,Charlie,4
58,2022-01-03 09:00:00,2528,North,Electronics,Laptop,2,112.27,193.1,0.14,0.25,Cash,Charlie,4
59,2022-01-03 10:00:00,4202,West,Clothing,Perfume,17,206.96,2533.19,0.28,0.37,Bank Transfer,Ethan,4
60,2022-01-03 11:00:00,4556,East,Home,Football,6,194.41,1073.14,0.08,0.11,Credit Card,Bob,5
61,2022-01-03 12:00:00,4890,North,Electronics,Shirt,8,69.84,469.32,0.16,0.24,PayPal,Diana,3
62,2022-01-03 13:00:00,1646,North,Electronics,Perfume,1,497.1,437.45,0.12,0.18,Bank Transfer,Alice,5
63,2022-01-03 14:00:00,3068,North,Sports,Sofa,3,145.8,393.66,0.1,0.39,Cash,Diana,1
64,2022-01-03 15:00:00,3888,East,Home,Football,15,361.91,4505.78,0.17,0.33,Cash,Ethan,3
65,2022-01-03 16:00:00,3214,South,Sports,Laptop,17,113.91,1607.27,0.17,0.32,Cash,Bob,4
66,2022-01-03 17:00:00,2297,West,Clothing,Football,7,439.54,2738.33,0.11,0.12,Cash,Diana,4
67,2022-01-03 18:00:00,3435,North,Clothing,Shirt,14,196.94,2040.3,0.26,0.13,Bank Transfer,Bob,1
68,2022-01-03 19:00:00,1600,North,Home,Laptop,3,450.95,1325.79,0.02,0.06,Credit Card,Diana,3
69,2022-01-03 20:00:00,3363,North,Clothing,Shirt,18,174.21,3041.71,0.03,0.27,Cash,Alice,5
70,2022-01-03 21:00:00,3061,South,Home,Shirt,5,9.28,32.48,0.3,0.18,Credit Card,Charlie,5
71,2022-01-03 22:00:00,1241,South,Clothing,Sofa,15,260.93,3052.88,0.22,0.16,PayPal,Diana,1
72,2022-01-03 23:00:00,3041,East,Beauty,Perfume,6,264.77,1207.35,0.24,0.27,Credit Card,Charlie,3
73,2022-01-04 00:00:00,3824,South,Electronics,Sofa,3,64.32,158.23,0.18,0.34,Cash,Charlie,5
74,2022-01-04 01:00:00,4417,West,Beauty,Sofa,18,121.31,1899.71,0.13,0.1,Bank Transfer,Charlie,4
75,2022-01-04 02:00:00,3612,East,Home,Sofa,3,392.83,954.58,0.19,0.37,PayPal,Ethan,4
76,2022-01-04 03:00:00,3945,East,Home,Laptop,8,23.19,179.95,0.03,0.06,Bank Transfer,Alice,5
77,2022-01-04 04:00:00,2363,West,Beauty,Perfume,19,247.32,3618.29,0.23,0.08,Bank Transfer,Charlie,3
78,2022-01-04 05:00:00,3139,West,Electronics,Perfume,18,267.55,4045.36,0.16,0.34,Credit Card,Alice,5
79,2022-01-04 06:00:00,2390,West,Electronics,Laptop,15,345.91,3683.94,0.29,0.22,Credit Card,Diana,1
80,2022-01-04 07:00:00,4003,East,Sports,Sofa,14,23.54,266.94,0.19,0.38,Credit Card,Alice,3
81,2022-01-04 08:00:00,2478,East,Clothing,Sofa,16,294.89,4482.33,0.05,0.21,Cash,Bob,5
82,2022-01-04 09:00:00,4499,East,Sports,Shirt,3,6.53,16.85,0.14,0.37,PayPal,Charlie,4
83,2022-01-04 10:00:00,3556,West,Electronics,Shirt,15,136.26,2003.02,0.02,0.13,Credit Card,Diana,3
84,2022-01-04 11:00:00,1775,West,Beauty,Football,19,252.34,3739.68,0.22,0.27,Cash,Charlie,2
85,2022-01-04 12:00:00,1034,North,Clothing,Shirt,8,456.08,3101.34,0.15,0.4,Bank Transfer,Charlie,3
86,2022-01-04 13:00:00,3253,South,Beauty,Perfume,2,67.66,120.43,0.11,0.18,PayPal,Diana,4
87,2022-01-04 14:00:00,4152,North,Sports,Laptop,17,88.8,1071.82,0.29,0.05,Bank Transfer,Diana,3
88,2022-01-04 15:00:00,2955,West,Home,Sofa,12,336.28,2905.46,0.28,0.07,Credit Card,Ethan,1
89,2022-01-04 16:00:00,2585,East,Beauty,Football,19,190.56,2570.65,0.29,0.35,PayPal,Ethan,4
90,2022-01-04 17:00:00,4943,West,Sports,Shirt,11,313.59,3208.03,0.07,0.22,Cash,Ethan,4
91,2022-01-04 18:00:00,4459,South,Sports,Football,18,498.74,7002.31,0.22,0.24,PayPal,Alice,1
92,2022-01-04 19:00:00,4073,North,Sports,Laptop,13,493.5,4619.16,0.28,0.33,PayPal,Bob,2
93,2022-01-04 20:00:00,2021,North,Home,Laptop,14,180.09,2092.65,0.17,0.33,PayPal,Bob,3
94,2022-01-04 21:00:00,4461,East,Home,Football,12,254.44,2870.08,0.06,0.22,Credit Card,Alice,1
95,2022-01-04 22:00:00,3613,North,Home,Football,15,452.82,5094.23,0.25,0.35,Bank Transfer,Ethan,3
96,2022-01-04 23:00:00,2129,North,Clothing,Football,8,50.62,299.67,0.26,0.21,Bank Transfer,Bob,3
97,2022-01-05 00:00:00,4843,West,Home,Sofa,2,228.89,361.65,0.21,0.29,Credit Card,Ethan,2
98,2022-01-05 01:00:00,4893,North,Home,Perfume,8,191.9,1397.03,0.09,0.06,Credit Card,Diana,3
99,2022-01-05 02:00:00,2500,North,Home,Shirt,5,150.97,709.56,0.06,0.1,Bank Transfer,Alice,1
100,2022-01-05 03:00:00,1702,North,Beauty,Shirt,2,497.13,805.35,0.19,0.35,Credit Card,Ethan,3
101,2022-01-05 04:00:00,3449,East,Home,Shirt,10,368.11,3165.75,0.14,0.16,Credit Card,Alice,3
102,2022-01-05 05:00:00,3777,East,Clothing,Football,10,197.43,1579.44,0.2,0.17,Credit Card,Charlie,2
103,2022-01-05 06:00:00,2579,West,Sports,Football,4,415.37,1611.64,0.03,0.28,Credit Card,Alice,3
104,2022-01-05 07:00:00,1161,North,Beauty,Football,4,247.38,949.94,0.04,0.26,Bank Transfer,Alice,4
105,2022-01-05 08:00:00,1201,East,Electronics,Sofa,8,437.05,3111.8,0.11,0.08,Cash,Ethan,5
106,2022-01-05 09:00:00,2981,East,Home,Sofa,6,136.86,755.47,0.08,0.32,Cash,Alice,4
107,2022-01-05 10:00:00,1995,West,Sports,Sofa,15,115.68,1405.51,0.19,0.27,Bank Transfer,Charlie,2
108,2022-01-05 11:00:00,3317,South,Sports,Sofa,18,127.41,2041.11,0.11,0.35,PayPal,Diana,3
109,2022-01-05 12:00:00,4934,North,Beauty,Laptop,8,271.55,1716.2,0.21,0.24,PayPal,Bob,1
110,2022-01-05 13:00:00,1815,East,Electronics,Sofa,7,149.2,804.19,0.23,0.2,Cash,Diana,3
111,2022-01-05 14:00:00,4342,West,Clothing,Sofa,17,77.82,1243.56,0.06,0.18,Bank Transfer,Alice,3
112,2022-01-05 15:00:00,1455,West,Sports,Sofa,19,497.34,6803.61,0.28,0.05,Cash,Charlie,2
113,2022-01-05 16:00:00,4533,West,Sports,Shirt,2,450.71,685.08,0.24,0.06,PayPal,Charlie,3
114,2022-01-05 17:00:00,4798,East,Sports,Shirt,12,319.33,3103.89,0.19,0.1,Cash,Diana,1
115,2022-01-05 18:00:00,2275,North,Sports,Shirt,19,446.31,6190.32,0.27,0.38,Cash,Ethan,1
116,2022-01-05 19:00:00,2016,South,Beauty,Perfume,5,468.05,2153.03,0.08,0.36,Cash,Bob,5
117,2022-01-05 20:00:00,4773,North,Electronics,Laptop,12,339.67,3546.15,0.13,0.22,PayPal,Alice,5
118,2022-01-05 21:00:00,3343,West,Sports,Football,17,261.75,4316.26,0.03,0.11,PayPal,Alice,3
119,2022-01-05 22:00:00,4796,West,Clothing,Sofa,5,441.59,1898.84,0.14,0.1,Bank Transfer,Diana,1
120,2022-01-05 23:00:00,3767,South,Clothing,Shirt,2,286.06,486.3,0.15,0.14,Credit Card,Charlie,3
121,2022-01-06 00:00:00,4820,North,Home,Laptop,4,67.77,222.29,0.18,0.37,PayPal,Charlie,4
122,2022-01-06 01:00:00,1337,West,Sports,Sofa,6,186.59,1097.15,0.02,0.23,Credit Card,Ethan,2
123,2022-01-06 02:00:00,1878,West,Sports,Perfume,9,225.73,2011.25,0.01,0.33,Cash,Bob,2
124,2022-01-06 03:00:00,2076,North,Sports,Football,10,468.01,4071.69,0.13,0.23,Credit Card,Alice,1
125,2022-01-06 04:00:00,1791,West,Sports,Sofa,11,331.3,3425.64,0.06,0.26,Bank Transfer,Diana,4
126,2022-01-06 05:00:00,4993,North,Sports,Football,2,438.26,674.92,0.23,0.26,Cash,Ethan,1
127,2022-01-06 06:00:00,3264,West,Clothing,Sofa,9,380.01,2736.07,0.2,0.06,Bank Transfer,Bob,4
128,2022-01-06 07:00:00,1763,North,Electronics,Perfume,17,158.38,2423.21,0.1,0.21,Credit Card,Alice,1
129,2022-01-06 08:00:00,3235,South,Electronics,Laptop,9,360.76,3214.37,0.01,0.35,Cash,Bob,5
130,2022-01-06 09:00:00,1379,West,Home,Football,8,101.67,772.69,0.05,0.22,PayPal,Alice,3
131,2022-01-06 10:00:00,1492,South,Clothing,Football,5,207.03,817.77,0.21,0.2,Credit Card,Bob,2
132,2022-01-06 11:00:00,4112,West,Sports,Laptop,5,404.02,1414.07,0.3,0.23,Credit Card,Bob,2
133,2022-01-06 12:00:00,2180,West,Electronics,Football,6,307.9,1662.66,0.1,0.18,Cash,Diana,4
134,2022-01-06 13:00:00,3062,East,Beauty,Shirt,16,413.58,5029.13,0.24,0.23,Cash,Ethan,5
135,2022-01-06 14:00:00,4884,North,Beauty,Laptop,1,131.08,97.0,0.26,0.1,Bank Transfer,Charlie,4
136,2022-01-06 15:00:00,1064,South,Beauty,Perfume,9,376.13,3351.32,0.01,0.39,PayPal,Bob,5
137,2022-01-06 16:00:00,4928,South,Sports,Sofa,7,105.15,537.32,0.27,0.06,Credit Card,Diana,4
138,2022-01-06 17:00:00,4910,South,Sports,Sofa,11,274.93,2600.84,0.14,0.22,PayPal,Charlie,1
139,2022-01-06 18:00:00,3568,North,Home,Laptop,15,219.6,2338.74,0.29,0.12,PayPal,Ethan,1
140,2022-01-06 19:00:00,2367,East,Home,Shirt,5,280.46,1177.93,0.16,0.07,PayPal,Ethan,2
141,2022-01-06 20:00:00,2152,South,Home,Perfume,19,72.09,1273.83,0.07,0.28,Cash,Bob,4
142,2022-01-06 21:00:00,3027,North,Beauty,Sofa,6,183.81,783.03,0.29,0.39,PayPal,Alice,4
143,2022-01-06 22:00:00,3695,West,Sports,Sofa,14,335.12,4363.26,0.07,0.31,Bank Transfer,Ethan,1
144,2022-01-06 23:00:00,2495,South,Beauty,Shirt,14,281.47,2916.03,0.26,0.14,PayPal,Diana,4
145,2022-01-07 00:00:00,4134,South,Home,Football,11,276.74,2891.93,0.05,0.22,Cash,Bob,2
146,2022-01-07 01:00:00,2162,East,Sports,Laptop,4,257.86,825.15,0.2,0.07,Cash,Ethan,2
147,2022-01-07 02:00:00,2522,South,Clothing,Shirt,10,472.22,4155.54,0.12,0.24,PayPal,Bob,4
148,2022-01-07 03:00:00,3640,South,Electronics,Shirt,2,467.61,664.01,0.29,0.08,Bank Transfer,Alice,2
149,2022-01-07 04:00:00,1391,West,Electronics,Shirt,4,183.27,689.1,0.06,0.33,Credit Card,Ethan,2
150,2022-01-07 05:00:00,2698,North,Home,Shirt,10,179.19,1576.87,0.12,0.07,Credit Card,Bob,4
151,2022-01-07 06:00:00,1418,North,Beauty,Football,1,279.67,226.53,0.19,0.05,Bank Transfer,Diana,4
152,2022-01-07 07:00:00,3336,East,Clothing,Perfume,14,52.33,520.16,0.29,0.35,Cash,Ethan,1
153,2022-01-07 08:00:00,1378,West,Sports,Shirt,18,154.99,2538.74,0.09,0.38,PayPal,Alice,1
154,2022-01-07 09:00:00,2796,North,Beauty,Shirt,12,119.28,1259.6,0.12,0.08,Credit Card,Charlie,5
155,2022-01-07 10:00:00,4561,West,Home,Laptop,19,115.58,1888.58,0.14,0.15,Credit Card,Charlie,4
156,2022-01-07 11:00:00,3278,North,Beauty,Sofa,12,321.06,3544.5,0.08,0.31,PayPal,Bob,5
157,2022-01-07 12:00:00,4065,West,Home,Football,5,195.25,732.19,0.25,0.24,Credit Card,Ethan,4
158,2022-01-07 13:00:00,3088,East,Electronics,Shirt,4,89.73,348.15,0.03,0.38,Credit Card,Ethan,5
159,2022-01-07 14:00:00,4099,South,Electronics,Perfume,13,444.35,4563.47,0.21,0.19,Cash,Alice,3
160,2022-01-07 15:00:00,3182,East,Beauty,Perfume,18,437.7,6618.02,0.16,0.05,Credit Card,Charlie,4
161,2022-01-07 16:00:00,1200,North,Clothing,Perfume,12,431.92,4820.23,0.07,0.06,Credit Card,Diana,2
162,2022-01-07 17:00:00,2863,East,Sports,Laptop,16,198.42,2698.51,0.15,0.25,Cash,Charlie,5
163,2022-01-07 18:00:00,1779,South,Home,Perfume,6,33.21,149.44,0.25,0.31,Credit Card,Ethan,3
164,2022-01-07 19:00:00,3977,East,Sports,Laptop,7,57.84,352.25,0.13,0.33,Cash,Diana,3
165,2022-01-07 20:00:00,4104,North,Electronics,Football,9,141.64,1223.77,0.04,0.37,PayPal,Diana,1
166,2022-01-07 21:00:00,4119,North,Clothing,Perfume,10,113.89,1127.51,0.01,0.13,Credit Card,Alice,3
167,2022-01-07 22:00:00,1502,East,Clothing,Sofa,5,437.62,1684.84,0.23,0.31,Credit Card,Bob,5
168,2022-01-07 23:00:00,3454,South,Sports,Shirt,4,493.25,1775.7,0.1,0.34,Bank Transfer,Bob,3
169,2022-01-08 00:00:00,4645,East,Electronics,Football,11,409.25,3241.26,0.28,0.34,Bank Transfer,Alice,3
170,2022-01-08 01:00:00,2751,South,Sports,Sofa,19,366.28,5637.05,0.19,0.19,Bank Transfer,Ethan,1
171,2022-01-08 02:00:00,1804,West,Beauty,Football,7,296.37,1804.89,0.13,0.27,Cash,Ethan,1
172,2022-01-08 03:00:00,3146,South,Clothing,Perfume,13,386.1,4166.02,0.17,0.24,Credit Card,Bob,4
173,2022-01-08 04:00:00,3731,West,Clothing,Football,13,473.78,5296.86,0.14,0.26,Credit Card,Charlie,2
174,2022-01-08 05:00:00,2895,East,Beauty,Football,18,302.67,3977.08,0.27,0.15,Bank Transfer,Alice,3
175,2022-01-08 06:00:00,3773,South,Electronics,Football,9,81.53,631.04,0.14,0.29,Cash,Charlie,2
176,2022-01-08 07:00:00,2570,West,Clothing,Laptop,13,86.11,1085.85,0.03,0.3,Bank Transfer,Alice,3
177,2022-01-08 08:00:00,1960,West,Home,Sofa,13,294.01,3134.15,0.18,0.12,Credit Card,Alice,1
178,2022-01-08 09:00:00,4810,West,Home,Perfume,5,170.07,688.78,0.19,0.21,Cash,Bob,5
179,2022-01-08 10:00:00,3660,North,Electronics,Shirt,12,455.57,4209.47,0.23,0.2,Bank Transfer,Bob,4
180,2022-01-08 11:00:00,2485,East,Beauty,Perfume,1,307.76,221.59,0.28,0.31,Credit Card,Charlie,3
181,2022-01-08 12:00:00,3690,West,Sports,Perfume,18,339.86,5322.21,0.13,0.28,Bank Transfer,Ethan,5
182,2022-01-08 13:00:00,4840,South,Electronics,Laptop,17,7.88,119.22,0.11,0.22,PayPal,Diana,1
183,2022-01-08 14:00:00,2028,West,Sports,Laptop,10,251.93,2141.41,0.15,0.28,Cash,Charlie,4
184,2022-01-08 15:00:00,4289,North,Electronics,Football,9,218.43,1435.09,0.27,0.14,PayPal,Alice,2
185,2022-01-08 16:00:00,1502,East,Home,Perfume,8,354.41,2013.05,0.29,0.13,PayPal,Diana,4
186,2022-01-08 17:00:00,3814,North,Beauty,Sofa,15,194.41,2070.47,0.29,0.13,Cash,Diana,2
187,2022-01-08 18:00:00,1397,North,Home,Laptop,13,488.4,5904.76,0.07,0.06,PayPal,Diana,3
188,2022-01-08 19:00:00,1870,North,Beauty,Laptop,17,336.75,4866.04,0.15,0.29,Bank Transfer,Diana,2
189,2022-01-08 20:00:00,3842,South,Sports,Sofa,9,331.66,2746.14,0.08,0.4,Credit Card,Diana,2
190,2022-01-08 21:00:00,1392,East,Electronics,Laptop,11,460.07,4504.09,0.11,0.16,Cash,Charlie,4
191,2022-01-08 22:00:00,1206,East,Clothing,Sofa,4,497.63,1970.61,0.01,0.38,Bank Transfer,Bob,3
192,2022-01-08 23:00:00,2038,South,Clothing,Shirt,7,102.92,684.42,0.05,0.26,Credit Card,Bob,1
193,2022-01-09 00:00:00,2881,East,Beauty,Sofa,3,406.21,1072.39,0.12,0.13,PayPal,Alice,4
194,2022-01-09 01:00:00,4625,North,Beauty,Shirt,10,85.35,759.62,0.11,0.05,Cash,Ethan,3
195,2022-01-09 02:00:00,3939,East,Home,Football,3,231.24,638.22,0.08,0.3,PayPal,Charlie,5
196,2022-01-09 03:00:00,2484,South,Clothing,Football,1,54.59,50.77,0.07,0.29,Credit Card,Diana,1
197,2022-01-09 04:00:00,4762,North,Home,Laptop,14,313.57,3424.18,0.22,0.13,Cash,Bob,2
198,2022-01-09 05:00:00,4646,South,Sports,Sofa,13,236.92,2802.76,0.09,0.17,Bank Transfer,Alice,5
199,2022-01-09 06:00:00,1863,West,Clothing,Laptop,5,316.21,1249.03,0.21,0.36,PayPal,Diana,2
200,2022-01-09 07:00:00,3790,North,Sports,Sofa,8,340.59,2425.0,0.11,0.11,Bank Transfer,Alice,3
201,2022-01-09 08:00:00,4312,North,Electronics,Laptop,12,311.62,2841.97,0.24,0.34,Bank Transfer,Diana,1
202,2022-01-09 09:00:00,1563,East,Home,Football,6,150.54,858.08,0.05,0.11,Bank Transfer,Diana,1
203,2022-01-09 10:00:00,2020,North,Beauty,Football,2,419.29,796.65,0.05,0.22,Cash,Bob,4
204,2022-01-09 11:00:00,1095,South,Clothing,Laptop,4,278.08,889.86,0.2,0.22,PayPal,Bob,3
205,2022-01-09 12:00:00,2923,East,Home,Sofa,5,247.48,903.3,0.27,0.22,Bank Transfer,Diana,2
206,2022-01-09 13:00:00,2757,West,Beauty,Perfume,11,493.6,5212.42,0.04,0.15,Credit Card,Bob,2
207,2022-01-09 14:00:00,3532,South,Electronics,Sofa,13,145.34,1851.63,0.02,0.14,Cash,Charlie,2
208,2022-01-09 15:00:00,4478,West,Clothing,Laptop,8,266.38,1534.35,0.28,0.31,Bank Transfer,Diana,2
209,2022-01-09 16:00:00,3278,West,Sports,Sofa,5,342.75,1645.2,0.04,0.15,Bank Transfer,Bob,1
210,2022-01-09 17:00:00,3796,West,Electronics,Shirt,6,66.99,369.78,0.08,0.26,PayPal,Alice,1
211,2022-01-09 18:00:00,2678,North,Beauty,Sofa,15,180.35,1947.78,0.28,0.35,Bank Transfer,Alice,2
212,2022-01-09 19:00:00,4242,South,Clothing,Football,16,401.84,4886.37,0.24,0.34,Bank Transfer,Alice,4
213,2022-01-09 20:00:00,1540,South,Clothing,Football,11,122.2,1209.78,0.1,0.11,Bank Transfer,Ethan,5
214,2022-01-09 21:00:00,2059,North,Electronics,Shirt,7,249.18,1238.42,0.29,0.28,PayPal,Alice,3
215,2022-01-09 22:00:00,3572,East,Clothing,Sofa,6,317.16,1579.46,0.17,0.26,Bank Transfer,Alice,2
216,2022-01-09 23:00:00,2183,West,Beauty,Perfume,12,337.23,3965.82,0.02,0.15,Credit Card,Charlie,3
217,2022-01-10 00:00:00,4910,South,Electronics,Sofa,4,365.51,1155.01,0.21,0.19,Cash,Charlie,2
218,2022-01-10 01:00:00,2722,North,Sports,Football,14,433.66,5099.84,0.16,0.15,Bank Transfer,Ethan,4
219,2022-01-10 02:00:00,4314,West,Electronics,Football,11,199.47,1821.16,0.17,0.24,PayPal,Charlie,5
220,2022-01-10 03:00:00,4157,East,Electronics,Laptop,12,354.78,2980.15,0.3,0.33,Credit Card,Bob,2
221,2022-01-10 04:00:00,2819,East,Sports,Football,2,367.43,698.12,0.05,0.36,Cash,Alice,2
222,2022-01-10 05:00:00,3625,West,Beauty,Laptop,11,153.64,1352.03,0.2,0.3,PayPal,Bob,5
223,2022-01-10 06:00:00,3729,East,Home,Football,13,484.24,5413.8,0.14,0.22,PayPal,Ethan,2
224,2022-01-10 07:00:00,3604,South,Home,Football,11,433.28,4384.79,0.08,0.39,Cash,Bob,1
225,2022-01-10 08:00:00,2597,South,Sports,Perfume,9,148.48,1055.69,0.21,0.25,Cash,Bob,4
226,2022-01-10 09:00:00,4060,South,Beauty,Laptop,16,339.16,4341.25,0.2,0.22,PayPal,Bob,1
227,2022-01-10 10:00:00,3693,East,Clothing,Laptop,5,360.31,1333.15,0.26,0.35,Credit Card,Charlie,4
228,2022-01-10 11:00:00,1795,South,Sports,Football,12,218.58,1940.99,0.26,0.11,Credit Card,Alice,1
229,2022-01-10 12:00:00,2051,North,Home,Laptop,3,432.55,1077.05,0.17,0.11,Credit Card,Bob,1
230,2022-01-10 13:00:00,2643,South,Beauty,Football,16,346.66,4991.9,0.1,0.32,Cash,Diana,2
231,2022-01-10 14:00:00,4627,South,Electronics,Football,19,330.79,5279.41,0.16,0.35,Bank Transfer,Alice,4
