name,MRR,churnProbability,supportTickets,lastActivityDays,contractLengthMonths
Inspire Consulting,135,0.7909,23,83,3
Jupiter Innovations,990,0.1450,5,16,12
Kilo Logic,370,0.5401,13,51,6
Limitless Data,2600,0.0588,2,7,12
Mover Stream,65,0.9602,24,88,3
Neo Works,1550,0.0850,3,10,12
Orbit Point,285,0.6015,18,67,6
Parallel Solutions,480,0.4305,14,47,6
Quiet Tech,4050,0.0201,0,1,24
Rarity Global,105,0.8109,22,81,3
Sphere Corp,1250,0.1055,4,13,12
Truewave Labs,360,0.5601,15,54,6
Unique Dynamics,4500,0.0166,0,4,24
Vista Group,145,0.7305,21,80,3
Wildfire Innovations,790,0.1705,6,15,12
Xenith Global,250,0.6409,17,63,6
YourSight Analytics,3200,0.0309,1,6,24
Zoom Systems,85,0.9400,24,89,3
Azure Solutions,1300,0.1088,5,18,12
Bright Consulting,310,0.5302,14,56,6
Comet Dynamics,4600,0.0111,0,2,24
Driven Labs,155,0.7107,20,76,3
Epsilon Tech,920,0.1222,4,11,12
Frame Innovations,355,0.4905,13,44,6
Genesis Group,2050,0.0601,2,8,12
Harmony Data,95,0.9205,23,85,3
Incline Stream,1800,0.0750,3,9,12
Journey Works,390,0.5101,12,53,6
Kinetic Logic,430,0.4607,11,46,6
Lagoon Point,2350,0.0488,1,5,24
Manifest Solutions,75,0.9708,25,90,3
Northstar Global,1650,0.0822,4,14,12
